Compliance_ID,Regulation_Type,Applicable_To,Frequency,Due_Date,Submitted_Date,Status,Penalty_Risk,Responsible_Person,Department,Priority
CMP0034,GST Return (GSTR-1),Reliance Ind,Monthly,01-May-25,01-May-25,Non-Compliant,454572.14,Finance Controller,Compliance,Critical
CMP0035,GST Return (GSTR-1),Tech Mahindra,Monthly,16-Sep-25,-,At Risk,0,Tax Manager,Tax,Low
CMP0036,CSR Compliance,Reliance Ind,Annual,09-Mar-25,-,At Risk,0,CA Ramesh Iyer,Compliance,High
CMP0037,ROC Annual Return,Wipro Ltd,Annual,15-Sep-25,15-Sep-25,Non-Compliant,465511.84,Tax Manager,Legal,Critical
CMP0038,ESI Contribution,Sun Pharma,Monthly,29-Sep-25,29-Sep-25,Non-Compliant,75188.89,CA Ramesh Iyer,Tax,Critical
CMP0039,TDS Return,ICICI Bank,Annual,24-May-25,-,Pending,0,Compliance Head,Accounting,Medium
CMP0040,ROC Annual Return,Asian Paints,Annual,16-May-25,-,At Risk,0,Compliance Head,Accounting,High
CMP0041,ESI Contribution,Sun Pharma,Monthly,09-Sep-25,09-Sep-25,Compliant,0,Finance Controller,Accounting,Critical
CMP0042,Income Tax Filing,Wipro Ltd,Monthly,28-Jan-25,28-Jan-25,Compliant,0,CFO Priya Shah,Finance,Low
CMP0043,ROC Annual Return,Wipro Ltd,Annual,28-Dec-25,28-Dec-25,Non-Compliant,221032.78,Tax Manager,Finance,Low
CMP0044,ESI Contribution,Sun Pharma,Monthly,15-Oct-25,15-Oct-25,Non-Compliant,231591.05,CA Ramesh Iyer,Legal,Critical
CMP0045,ESI Contribution,Infosys Ltd,Monthly,15-Apr-25,15-Apr-25,Compliant,0,CFO Priya Shah,Legal,Medium
CMP0046,Transfer Pricing Report,Nestle India,Annual,06-Dec-25,-,At Risk,0,CFO Priya Shah,Compliance,Critical
CMP0047,Audit Report Submission,ITC Ltd,Annual,20-Oct-25,20-Oct-25,Compliant,0,Tax Manager,Finance,High
CMP0048,Advance Tax,Maruti Suzuki,Quarterly,18-Feb-25,18-Feb-25,Compliant,0,CA Ramesh Iyer,Tax,Critical
CMP0049,PF Contribution,Reliance Ind,Monthly,30-Oct-25,30-Oct-25,Compliant,0,Compliance Head,Legal,Critical
CMP0050,GST Return (GSTR-3B),ICICI Bank,Quarterly,29-Dec-25,-,Pending,0,Tax Manager,Accounting,Medium
CMP0051,Transfer Pricing Report,Maruti Suzuki,Annual,03-Jan-25,03-Jan-25,Compliant,0,CA Ramesh Iyer,Compliance,Low
CMP0052,ESI Contribution,Sun Pharma,Monthly,19-Oct-25,19-Oct-25,Compliant,0,CFO Priya Shah,Finance,Medium
CMP0053,ESI Contribution,ITC Ltd,Monthly,29-Jan-25,-,Pending,0,CA Ramesh Iyer,Compliance,Low
CMP0054,GST Return (GSTR-3B),HDFC Bank,Quarterly,11-May-25,11-May-25,Compliant,0,CFO Priya Shah,Accounting,Critical
CMP0055,GST Return (GSTR-1),Hindustan Unilever,Monthly,17-Apr-25,17-Apr-25,Compliant,0,Tax Manager,Accounting,Medium
CMP0056,CSR Compliance,ITC Ltd,Annual,01-Dec-25,01-Dec-25,Compliant,0,CA Ramesh Iyer,Tax,Low
CMP0057,PF Contribution,Sun Pharma,Monthly,08-Jun-25,-,Pending,0,Finance Controller,Legal,Medium
CMP0058,CSR Compliance,Infosys Ltd,Annual,08-Jul-25,-,At Risk,0,CFO Priya Shah,Accounting,Low
CMP0059,PF Contribution,ICICI Bank,Monthly,18-May-25,-,At Risk,0,Finance Controller,Accounting,Critical
CMP0060,PF Contribution,ITC Ltd,Monthly,08-Jul-25,-,At Risk,0,CFO Priya Shah,Accounting,Low
CMP0061,GST Return (GSTR-3B),Tata Consultancy,Quarterly,20-Sep-25,20-Sep-25,Compliant,0,Tax Manager,Legal,High
CMP0062,Advance Tax,Bajaj Finance,Quarterly,19-Nov-25,-,Pending,0,Finance Controller,Finance,Medium
CMP0063,Advance Tax,HDFC Bank,Quarterly,10-Feb-25,10-Feb-25,Non-Compliant,153694.66,CFO Priya Shah,Tax,High
CMP0064,Audit Report Submission,HDFC Bank,Annual,01-Jun-25,-,At Risk,0,CA Ramesh Iyer,Compliance,Critical
CMP0065,GST Return (GSTR-1),Bajaj Finance,Monthly,25-Feb-25,-,At Risk,0,Tax Manager,Accounting,Critical
CMP0066,Advance Tax,Maruti Suzuki,Quarterly,19-Oct-25,19-Oct-25,Compliant,0,Compliance Head,Tax,Critical
CMP0067,Audit Report Submission,Tata Consultancy,Annual,28-Feb-25,-,Pending,0,Tax Manager,Legal,High
CMP0068,PF Contribution,Tata Consultancy,Monthly,12-Feb-25,12-Feb-25,Non-Compliant,438993.9,Compliance Head,Tax,Low
CMP0069,CSR Compliance,ICICI Bank,Annual,16-Nov-25,16-Nov-25,Compliant,0,Compliance Head,Legal,High
CMP0070,TDS Return,Infosys Ltd,Annual,06-Nov-25,06-Nov-25,Compliant,0,CA Ramesh Iyer,Accounting,Critical
CMP0071,GST Return (GSTR-1),HDFC Bank,Monthly,01-Mar-25,01-Mar-25,Compliant,0,CFO Priya Shah,Accounting,Low
CMP0072,Labour Law Filing,HDFC Bank,Monthly,03-Dec-25,-,Pending,0,Finance Controller,Accounting,Medium
CMP0073,Transfer Pricing Report,Hindustan Unilever,Annual,12-Nov-25,12-Nov-25,Compliant,0,Tax Manager,Tax,Critical
CMP0074,TDS Return,Wipro Ltd,Annual,08-Jan-25,08-Jan-25,Compliant,0,CA Ramesh Iyer,Finance,High
CMP0075,GST Return (GSTR-1),HCL Tech,Monthly,04-Sep-25,-,Pending,0,CFO Priya Shah,Legal,Low
CMP0076,CSR Compliance,Hindustan Unilever,Annual,03-Oct-25,03-Oct-25,Compliant,0,CA Ramesh Iyer,Tax,Low
CMP0077,TDS Return,ICICI Bank,Annual,05-Aug-25,05-Aug-25,Compliant,0,CA Ramesh Iyer,Legal,High
CMP0078,Labour Law Filing,Sun Pharma,Monthly,16-Aug-25,16-Aug-25,Non-Compliant,238387.15,Tax Manager,Compliance,High
CMP0079,Income Tax Filing,Tech Mahindra,Monthly,19-Oct-25,19-Oct-25,Non-Compliant,30206.48,CA Ramesh Iyer,Finance,Low
CMP0080,PF Contribution,Hindustan Unilever,Monthly,11-Sep-25,-,Pending,0,Finance Controller,Compliance,Medium
CMP0081,GST Return (GSTR-1),ICICI Bank,Monthly,24-Jul-25,24-Jul-25,Non-Compliant,259111.08,Finance Controller,Accounting,High
CMP0082,Labour Law Filing,Tata Consultancy,Monthly,28-Sep-25,28-Sep-25,Compliant,0,Tax Manager,Compliance,Medium
CMP0083,Audit Report Submission,Infosys Ltd,Annual,18-May-25,-,Pending,0,Tax Manager,Accounting,Critical
CMP0084,Advance Tax,Asian Paints,Quarterly,27-Nov-25,27-Nov-25,Compliant,0,Tax Manager,Accounting,Critical
CMP0085,TDS Return,Tech Mahindra,Annual,09-Apr-25,09-Apr-25,Non-Compliant,175204.46,CFO Priya Shah,Compliance,High
CMP0086,Transfer Pricing Report,Nestle India,Annual,17-Dec-25,17-Dec-25,Compliant,0,Finance Controller,Accounting,High
CMP0087,ROC Annual Return,Sun Pharma,Annual,31-Dec-25,31-Dec-25,Non-Compliant,480102.67,Compliance Head,Accounting,High
CMP0088,Transfer Pricing Report,HCL Tech,Annual,25-May-25,-,Pending,0,CA Ramesh Iyer,Accounting,High
CMP0089,TDS Return,HCL Tech,Annual,22-Mar-25,-,At Risk,0,Tax Manager,Finance,Low
CMP0090,Advance Tax,Tech Mahindra,Quarterly,01-May-25,01-May-25,Compliant,0,Finance Controller,Finance,Critical
CMP0091,ESI Contribution,Nestle India,Monthly,14-May-25,14-May-25,Compliant,0,CFO Priya Shah,Legal,Critical
CMP0092,GST Return (GSTR-3B),Reliance Ind,Quarterly,09-Aug-25,09-Aug-25,Compliant,0,Finance Controller,Legal,Critical
CMP0093,Audit Report Submission,HCL Tech,Annual,07-Sep-25,07-Sep-25,Compliant,0,Compliance Head,Tax,Critical
CMP0094,Audit Report Submission,Tech Mahindra,Annual,19-Mar-25,-,Pending,0,Finance Controller,Compliance,Critical
CMP0095,Labour Law Filing,Tata Consultancy,Monthly,13-Aug-25,13-Aug-25,Non-Compliant,481510.32,CA Ramesh Iyer,Finance,Critical
CMP0096,Audit Report Submission,Tata Consultancy,Annual,17-Sep-25,17-Sep-25,Compliant,0,CFO Priya Shah,Finance,High
CMP0097,ESI Contribution,Wipro Ltd,Monthly,30-May-25,-,Pending,0,Tax Manager,Compliance,Low
CMP0098,Labour Law Filing,Hindustan Unilever,Monthly,20-Feb-25,20-Feb-25,Compliant,0,Compliance Head,Tax,High
CMP0099,GST Return (GSTR-3B),Hindustan Unilever,Quarterly,14-Apr-25,14-Apr-25,Non-Compliant,484970.15,CA Ramesh Iyer,Legal,Low
CMP0100,ESI Contribution,Tech Mahindra,Monthly,16-Sep-25,16-Sep-25,Compliant,0,CA Ramesh Iyer,Tax,Medium
